installer_uniq,installer_closest,installer_counts,installer_counts_pct,installer_imputed
usa,musa,3,0.01%,others
ustawi,esawa,3,0.01%,others
uyoge,unone,3,0.01%,others
vi,ai,3,0.01%,others
victoriadrill,victoriadrillco,3,0.01%,others
wassocontractors,ampcontractor,3,0.01%,others
wordbank,wordlbank,3,0.01%,others
wvc,vc,3,0.01%,others
yebechikomesh,chiko,3,0.01%,others
zaowaterspring,zaowaterspringx,3,0.01%,others
ac,act,2,0.00%,others
actionaid,acord,2,0.00%,others
activetankcoltd,activetankco,2,0.00%,others
adam,adap,2,0.00%,others
africaaminialama,africamuslim,2,0.00%,others
africamuslimagenc,africanmuslimsage,2,0.00%,others
africanmuslimsage,africamuslimagenc,2,0.00%,others
africanrealiefcommitteofku,africanmuslimsage,2,0.00%,others
africare,africa,2,0.00%,others
amec,ac,2,0.00%,others
anglican,anglikan,2,0.00%,others
anglicanuganda,anglican,2,0.00%,others
apm,upm,2,0.00%,others
aqal,aqual,2,0.00%,others
aquarmandrillers,aqwamandrilling,2,0.00%,others
aquawel,aqual,2,0.00%,others
ar,aar,2,0.00%,others
arabscommunity,arabcommunity,2,0.00%,others
asdp,adp,2,0.00%,others
athumanijanguo,athumaniissa,2,0.00%,others
bingofoundation,kujifoundation,2,0.00%,others
bokeraw,bra,2,0.00%,others
calvaryconnection,manyaraconstruction,2,0.00%,others
ccps,ccp,2,0.00%,others
chacha,acra,2,0.00%,others
chani,cheni,2,0.00%,others
christianoutrich,christanoutrich,2,0.00%,others
cip,cap,2,0.00%,others
cipro,cpro,2,0.00%,others
coek,coew,2,0.00%,others
compa,commu,2,0.00%,others
comunity,community,2,0.00%,others
cultus,caltus,2,0.00%,others
dadp,adp,2,0.00%,others
danny,danda,2,0.00%,others
dasp,dadp,2,0.00%,others
dassip,dasip,2,0.00%,others
dcca,ddca,2,0.00%,others
ddcaco,ddca,2,0.00%,others
ddp,adp,2,0.00%,others
de,ce,2,0.00%,others
denish,dadis,2,0.00%,others
deska,deskc,2,0.00%,others
deskandchairfoundation,thedeskandchairfoundat,2,0.00%,others
dmk,dak,2,0.00%,others
doddea,danda,2,0.00%,others
dsv,dhv,2,0.00%,others
dwetassaf,tassaf,2,0.00%,dwe
dwt,dct,2,0.00%,others
edward,dardo,2,0.00%,others
efarm,efam,2,0.00%,others
egyptgovernment,adragovernment,2,0.00%,government
eliasmahemba,mahemba,2,0.00%,others
eno,no,2,0.00%,others
esawa,hesawa,2,0.00%,hesawa
farmafrica,africa,2,0.00%,others
faudhtamimu,faustine,2,0.00%,others
finland,finwate,2,0.00%,others
folac,ola,2,0.00%,others
foreigne,orien,2,0.00%,others
fptc,fpct,2,0.00%,others
gdid,ded,2,0.00%,others
george,biore,2,0.00%,others
governmentandcommunity,governmentcommunity,2,0.00%,government
governmenttcrs,government,2,0.00%,government
green,greec,2,0.00%,others
greineker,greinaker,2,0.00%,others
gurumetisagita,gurumetisagitaco,2,0.00%,others
gurumetisagitaco,gurumetisagita,2,0.00%,others
gwasco,gwascol,2,0.00%,others
gwitembe,getekwe,2,0.00%,others
halmashauriwilaya,halmashauriyawilaya,2,0.00%,others
hanjalt,hanja,2,0.00%,others
hdv,dv,2,0.00%,others
henuredema,deusndege,2,0.00%,others
hesaw,heesaw,2,0.00%,hesawa
hesawz,hesaw,2,0.00%,hesawa
hospital,hospi,2,0.00%,others
hpa,ha,2,0.00%,others
iado,ad,2,0.00%,others
ilolanguluwatersupply,holiliwatersupply,2,0.00%,others
india,indi,2,0.00%,others
irangovern,govern,2,0.00%,government
irc,idc,2,0.00%,others
islamicagencytanzania,africaislamicagencytanzania,2,0.00%,others
itali,ai,2,0.00%,others
jawabu,bumabu,2,0.00%,others
jhlcoltd,jlhcoltd,2,0.00%,others
judgemchome,mchome,2,0.00%,others
jumamaro,jumaa,2,0.00%,others
k,,2,0.00%,others
karumbabuildingcompanyltd,karumbabiuldingcompanyltd,2,0.00%,others
kata,kalta,2,0.00%,others
kibo,ki,2,0.00%,others
kijiji,kajima,2,0.00%,others
killwater,kiliwater,2,0.00%,others
kilolostar,goldstar,2,0.00%,others
kilomber,filber,2,0.00%,others
kkktdme,kkkt,2,0.00%,kkkt
ko,co,2,0.00%,others
korea,koica,2,0.00%,others
kyariga,kajima,2,0.00%,others
laramatak,ilaramataki,2,0.00%,others
lionsclub,lions,2,0.00%,others
lips,rips,2,0.00%,others
liuwassa,luwassa,2,0.00%,others
localtechnitian,localtechnician,2,0.00%,others
machibya,mahita,2,0.00%,others
makuru,makori,2,0.00%,others
maro,mark,2,0.00%,others
marthaemanuel,matyenye,2,0.00%,others
maswico,maswi,2,0.00%,others
maswidrillingcoltd,maswidrilling,2,0.00%,others
mataro,maro,2,0.00%,others
mbulico,maswico,2,0.00%,others
mbwambo,mtambo,2,0.00%,others
md,ad,2,0.00%,others
mdrd,mdrdp,2,0.00%,others
ministryofeducation,ministryofwater,2,0.00%,others
missio,missi,2,0.00%,others
missionary,rcmissionary,2,0.00%,others
mmggoldmine,goldmain,2,0.00%,others
mp,m,2,0.00%,others
msiki,msikit,2,0.00%,others
mtc,mtn,2,0.00%,others
muham,ham,2,0.00%,others
municipal,council,2,0.00%,others
mwigicho,maswico,2,0.00%,others
mwitamuremi,mwitamahiti,2,0.00%,others
mwlnyereresecschool,longidosecschool,2,0.00%,others
mzung,mzungu,2,0.00%,others
nampapanga,nampopanga,2,0.00%,others
nampopanga,nampapanga,2,0.00%,others
nchagwa,chacha,2,0.00%,others
nddp,ddp,2,0.00%,others
neemiamission,herimission,2,0.00%,others
niger,nice,2,0.00%,others
nirad,norad,2,0.00%,others
north,nora,2,0.00%,others
npr,pr,2,0.00%,others
nsc,ns,2,0.00%,others
nyakilangani,nyakilanganyi,2,0.00%,others
o,,2,0.00%,others
onesm,ces,2,0.00%,others
pmo,po,2,0.00%,others
pnr,pr,2,0.00%,others
qsemltd,sialtd,2,0.00%,others
railway,alha,2,0.00%,others
redap,redep,2,0.00%,others
regwacompany,kilwacompany,2,0.00%,others
regwacompanyofegpty,regwacompanyofegypt,2,0.00%,others
regwacompanyofegypt,regwacompanyofegpty,2,0.00%,others
resolute,rotte,2,0.00%,others
roma,romam,2,0.00%,others
rotar,roma,2,0.00%,others
rssp,rwsp,2,0.00%,others
s,,2,0.00%,others
schoo,school,2,0.00%,others
selikali,serikali,2,0.00%,others
senapa,kinapa,2,0.00%,others
serena,serens,2,0.00%,others
ship,shipo,2,0.00%,others
soliderm,solidarm,2,0.00%,others
stansilaus,tanas,2,0.00%,others
sua,sa,2,0.00%,others
tagpatmos,taipo,2,0.00%,others
tanganyikabasin,anglikan,2,0.00%,others
tasa,tasaf,2,0.00%,others
tcrsdwe,tcrs,2,0.00%,dwe
tempo,taipo,2,0.00%,others
tlcjohnmajala,chamavita,2,0.00%,others
tom,apm,2,0.00%,others
totoland,holand,2,0.00%,others
townsh,cons,2,0.00%,others
umojadrillingconstruction,umojadrillingcontructo,2,0.00%,others
undp,adp,2,0.00%,others
universalconstruction,nandraconstruction,2,0.00%,others
vicfishltd,altaicoltd,2,0.00%,others
vickfi,aicki,2,0.00%,others
vienconstruction,mkonconstruction,2,0.00%,others
villaers,villagers,2,0.00%,others
villagewatercommittee,villagewatercommission,2,0.00%,others
vitecos,vtecos,2,0.00%,others
vw,dw,2,0.00%,others
wadeco,wdeco,2,0.00%,others
wajerumani,american,2,0.00%,others
waterauthority,wateraid,2,0.00%,others
waterhu,water,2,0.00%,others
waterusersgroup,waterusergroup,2,0.00%,others
wbdistrictcouncil,districtcouncil,2,0.00%,local_govt
wedeko,wedeco,2,0.00%,others
winamconstruction,kimkimconstruction,2,0.00%,others
winninspiritco,winninspiritcoltd,2,0.00%,others
winninspiritcoltd,winninspiritco,2,0.00%,others
worlddivision,worddivisio,2,0.00%,others
yellltd,elct,2,0.00%,others
aartisa,artisan,1,0.00%,others
abd,ad,1,0.00%,others
abdala,abdul,1,0.00%,others
abdallahallywazir,marijanallydadi,1,0.00%,others
abdul,abd,1,0.00%,others
act,ac,1,0.00%,others
activekmk,activemkm,1,0.00%,others
actmara,accra,1,0.00%,others
adamkea,adam,1,0.00%,others
adammualuaka,adamkea,1,0.00%,others
adrs,adra,1,0.00%,others
africam,africa,1,0.00%,others
africamuslim,africam,1,0.00%,others
africanreflectionsfoundation,africandevelopmentfoundation,1,0.00%,others
africaone,africare,1,0.00%,others
africaoneltd,africaone,1,0.00%,others
afrozismail,aartisa,1,0.00%,others
agrican,africa,1,0.00%,others
ahmad,amadi,1,0.00%,others
aicki,aic,1,0.00%,others
aixos,oikos,1,0.00%,others
alexmoyela,adamkea,1,0.00%,others
alha,alia,1,0.00%,others
alia,alha,1,0.00%,others
allys,atlas,1,0.00%,others
altaicoltd,jlhcoltd,1,0.00%,others
amadi,amari,1,0.00%,others
amari,amadi,1,0.00%,others
ambrose,adrs,1,0.00%,others
ambwenemwaikeke,mzeemabena,1,0.00%,others
american,agrican,1,0.00%,others
anglicachurch,anglicanchurch,1,0.00%,others
anglikan,anglican,1,0.00%,others
anglikana,anglikan,1,0.00%,others
anglikanachurch,anglicanchurch,1,0.00%,others
ansnanimurij,hasneinmurij,1,0.00%,others
answar,aar,1,0.00%,others
aquabluesangels,adpbusangi,1,0.00%,others
aqual,aqal,1,0.00%,others
aquawat,aquawel,1,0.00%,others
aqwamandrilling,aquarmandrillers,1,0.00%,others
arabcommunity,arabscommunity,1,0.00%,others
ardhiandpetcompanies,wassocompanies,1,0.00%,others
ardhiwaterwells,ardhiwaterwell,1,0.00%,others
arisan,artisan,1,0.00%,others
arrian,agrican,1,0.00%,others
athumaniissa,athumanijanguo,1,0.00%,others
atlas,allys,1,0.00%,others
baadela,abdala,1,0.00%,others
babtest,bahresa,1,0.00%,others
babusajin,babusajini,1,0.00%,others
babusajini,babusajin,1,0.00%,others
bahresa,baadela,1,0.00%,others
balyeh,malec,1,0.00%,others
bao,bap,1,0.00%,others
bap,bao,1,0.00%,others
baptistchurch,batistchurch,1,0.00%,others
baptistchurchoftanzania,baptistchurch,1,0.00%,others
barryamurphy,africamuslim,1,0.00%,others
batistchurch,baptistchurch,1,0.00%,others
bemanda,emanda,1,0.00%,others
benjamin,britain,1,0.00%,others
besado,besada,1,0.00%,others
bgss,bffs,1,0.00%,others
bhokemwita,mbusimwita,1,0.00%,others
billyphillips,bilila,1,0.00%,others
bingofoundationgermany,bingofoundation,1,0.00%,others
birage,biore,1,0.00%,others
bkhws,bffs,1,0.00%,others
boazi,boni,1,0.00%,others
bomasaving,babusajin,1,0.00%,others
boni,boazi,1,0.00%,others
bonitebottlesltd,africaoneltd,1,0.00%,others
bra,br,1,0.00%,others
brad,bra,1,0.00%,others
britain,arisan,1,0.00%,others
british,britain,1,0.00%,others
britishgovernment,belgiamgovernment,1,0.00%,government
brown,bao,1,0.00%,others
buildingworksengineeringltd,buildingworkscompanyltd,1,0.00%,others
bukumb,buguba,1,0.00%,others
bumabu,buguba,1,0.00%,others
buruba,buguba,1,0.00%,others
busogatrust,trust,1,0.00%,others
c,,1,0.00%,others
caltazkahama,caltas,1,0.00%,others
camartec,carmatech,1,0.00%,others
cap,bap,1,0.00%,others
care,aar,1,0.00%,others
carecipro,cipro,1,0.00%,others
carmatech,camartec,1,0.00%,others
cathoric,rccathoric,1,0.00%,others
ccp,cap,1,0.00%,others
ccpk,ccp,1,0.00%,others
cdt,cct,1,0.00%,others
cefarcchurch,rcchurch,1,0.00%,others
centragovernment,centralgovernment,1,0.00%,government
centragovt,centralgovt,1,0.00%,others
centralbasin,centralgovt,1,0.00%,others
cetralgovernmentrc,cebtralgovernment,1,0.00%,government
cfbuilders,shybuilders,1,0.00%,others
cgi,cg,1,0.00%,others
cgrc,care,1,0.00%,others
chachaissame,chacha,1,0.00%,others
chamachaushirika,halmashauri,1,0.00%,others
chandeco,chinaco,1,0.00%,others
charlottewell,shallowwell,1,0.00%,others
chela,cefa,1,0.00%,others
chinaco,china,1,0.00%,others
chinahenanconstuction,chinahenancontractor,1,0.00%,others
chinese,china,1,0.00%,others
chonjacharles,piuscharles,1,0.00%,others
christanoutrich,christianoutrich,1,0.00%,others
christinamagoge,christanoutrich,1,0.00%,others
christopher,rished,1,0.00%,others
chuo,chur,1,0.00%,others
churc,chur,1,0.00%,others
churchofdisciples,chachaissame,1,0.00%,others
cida,fida,1,0.00%,others
cjej0,cjejow,1,0.00%,others
claver,care,1,0.00%,others
cocu,ccp,1,0.00%,others
coew,coek,1,0.00%,others
college,ecolodge,1,0.00%,others
communitybank,community,1,0.00%,others
company,compa,1,0.00%,others
compasioninternatio,planinternationa,1,0.00%,others
conta,contr,1,0.00%,others
cow,co,1,0.00%,others
cowi,cow,1,0.00%,others
coyi,cowi,1,0.00%,others
craelius,caltus,1,0.00%,others
crety,ereto,1,0.00%,others
cristanoutrich,christanoutrich,1,0.00%,others
crs,ces,1,0.00%,others
cvsmiss,cmsr,1,0.00%,others
dadis,dads,1,0.00%,others
danda,danida,1,0.00%,danida
daniad,danid,1,0.00%,danida
danidaco,danida,1,0.00%,danida
danids,danid,1,0.00%,danida
daniel,daniad,1,0.00%,danida
dannida,danida,1,0.00%,danida
daressalaamroundtable,daressalaamtechnician,1,0.00%,others
daressalaamtechnician,localltechnician,1,0.00%,others
dawasa,tawasa,1,0.00%,others
dawe,dwe,1,0.00%,dwe
dbsp,dasp,1,0.00%,others
ddsa,ddca,1,0.00%,others
deogra,deska,1,0.00%,others
deusndege,jumandege,1,0.00%,others
dew,de,1,0.00%,others
dfid,danid,1,0.00%,others
dhvmoro,dhv,1,0.00%,others
di,ai,1,0.00%,others
dimon,aixos,1,0.00%,others
dina,china,1,0.00%,others
dioceseofmountkilimanjaro,lionsclubkilimanjaro,1,0.00%,others
districtcommunityj,districtcounci,1,0.00%,others
districwaterdepartment,districtwaterdepartment,1,0.00%,others
dl,d,1,0.00%,others
dmddsolider,soliderm,1,0.00%,others
dmmd,dmdd,1,0.00%,others
doktamwandulami,totallandcare,1,0.00%,others
domnik,boni,1,0.00%,others
dsp,dasp,1,0.00%,others
dspu,dsp,1,0.00%,others
dv,d,1,0.00%,others
dweanglicanchurch,anglicanchurch,1,0.00%,dwe
dweb,dwe,1,0.00%,dwe
dwelwi,dew,1,0.00%,dwe
dweubaloziwamarekani,ubaloziwamarekani,1,0.00%,dwe
dww,dew,1,0.00%,others
dydrotec,hydrotec,1,0.00%,others
eastmerumediumschool,princemediumschool,1,0.00%,others
ecolodge,college,1,0.00%,others
eeto,ereto,1,0.00%,others
ef,af,1,0.00%,others
egypt,elct,1,0.00%,others
egyptregwa,egypt,1,0.00%,others
egypttechnicalcooperation,tanzegypttechnicalcoopera,1,0.00%,others
elca,elct,1,0.00%,others
elina,eliza,1,0.00%,others
eliuschacha,chacha,1,0.00%,others
emanda,bemanda,1,0.00%,others
emandabuilders,cfbuilders,1,0.00%,others
emayo,maro,1,0.00%,others
embasyofjapanintanzania,canadanatanzania,1,0.00%,government
emmanuelkiswagala,emmanuelkitaponda,1,0.00%,others
emmanuelkitaponda,emmanuelkiswagala,1,0.00%,others
engaraserovillagers,aquarmandrillers,1,0.00%,others
engineerswithoutborder,insititutiona,1,0.00%,others
enyuati,enyueti,1,0.00%,others
esterndege,deusndege,1,0.00%,others
ewe,dwe,1,0.00%,dwe
fabia,alia,1,0.00%,others
fao,bao,1,0.00%,others
faustine,fathe,1,0.00%,others
fida,cida,1,0.00%,others
filber,inter,1,0.00%,others
filexmuganga,alexmoyela,1,0.00%,others
finwate,finwater,1,0.00%,others
fpctchurch,kkktchurch,1,0.00%,kkkt
frankfurt,makuru,1,0.00%,others
freshwaterplcengland,ardhiwaterwell,1,0.00%,others
fridamokeki,adamkea,1,0.00%,others
friedkinconservationfund,kimkimconstruction,1,0.00%,others
friendfromun,redcross,1,0.00%,others
gachumaconstruction,makamaconstruction,1,0.00%,others
gdp,adp,1,0.00%,others
georgemtoto,george,1,0.00%,others
georgemtotocompany,georgemtoto,1,0.00%,others
gerald,brad,1,0.00%,others
geraldmila,gerald,1,0.00%,others
german,germany,1,0.00%,others
germanmissionsry,germanymissionary,1,0.00%,others
gesine,elina,1,0.00%,others
getdsc00,gesine,1,0.00%,others
getekwe,mtewe,1,0.00%,others
ggm,bgm,1,0.00%,others
globalresourceco,grobalresourcealliance,1,0.00%,others
globalresourceconstruction,globalresourceco,1,0.00%,others
goldmain,gain,1,0.00%,others
goldwillfoundation,kujifoundation,1,0.00%,others
got,go,1,0.00%,others
governmen,governme,1,0.00%,government
governmentcommunity,governmentandcommunity,1,0.00%,government
governmentofmisri,governmentsda,1,0.00%,government
governmentsda,government,1,0.00%,government
governmentworldvision,governmentofmisri,1,0.00%,government
grailmissionkisekibar,germanmissionsry,1,0.00%,others
gratzmusoma,drmatomola,1,0.00%,others
greatlakes,greinaker,1,0.00%,others
grumenti,grumeti,1,0.00%,others
grumet,grumeti,1,0.00%,others
grumetifund,grumeti,1,0.00%,others
h4ccp,ccp,1,0.00%,others
haam,ham,1,0.00%,others
haidomulutheranchurch,lutheranchurch,1,0.00%,others
halimashauli,halmashauli,1,0.00%,others
hamisifidia,hapasingida,1,0.00%,others
hamismakombo,eliasmahemba,1,0.00%,others
hanja,danda,1,0.00%,others
harison,arisan,1,0.00%,others
hasawa,hesawa,1,0.00%,hesawa
hashi,hospi,1,0.00%,others
hasneinmurij,ansnanimurij,1,0.00%,others
haydomlutheranhospital,hydomluthelani,1,0.00%,others
heartshelpinghandsinc,nerthlands,1,0.00%,others
heesaw,hesaw,1,0.00%,hesawa
hemedabdalkah,hemedabdallah,1,0.00%,others
hemedabdallah,hemedabdalkah,1,0.00%,others
herimission,rcmission,1,0.00%,others
hery,he,1,0.00%,others
hesawq,hesaw,1,0.00%,hesawa
hesaws,hesaw,1,0.00%,hesawa
hesewa,hesawa,1,0.00%,hesawa
hilfefurbruder,bruder,1,0.00%,others
holand,holland,1,0.00%,others
holiliwatersupply,losakiawatersupply,1,0.00%,others
hotelandlodgetanzania,hotelsandloggstzltd,1,0.00%,others
hotelsandloggstzltd,hotelandlodgetanzania,1,0.00%,others
howardandhumfreyconsultants,howardandhumfreyconsultant,1,0.00%,others
howardhumfreys,humfreysco,1,0.00%,others
huches,ces,1,0.00%,others
humfreysco,huches,1,0.00%,others
husseinayubu,hasneinmurij,1,0.00%,others
icap,cap,1,0.00%,others
icf,ics,1,0.00%,others
icftwesa,rwetwesa,1,0.00%,others
igololacommunity,ilwilocommunity,1,0.00%,others
ilaramataki,laramatak,1,0.00%,others
ilwilocommunity,igololacommunity,1,0.00%,others
indiv,indi,1,0.00%,others
inkinda,india,1,0.00%,others
insititutiona,institution,1,0.00%,others
institutional,insititutiona,1,0.00%,others
internaldrainagebasin,centralbasin,1,0.00%,others
internationalaidservices,careinternational,1,0.00%,others
isfandtacare,isftacare,1,0.00%,others
isftasaff,isftacare,1,0.00%,others
islamiccommunity,ilwilocommunity,1,0.00%,others
issaakanyange,mamakalage,1,0.00%,others
issamohameditumwanga,mohamadmasanga,1,0.00%,others
italiangovernment,italygovernment,1,0.00%,government
iucn,icf,1,0.00%,others
jacks,jicks,1,0.00%,others
jacksonmahambo,jacksonmakore,1,0.00%,others
jacksonmakore,jacksonmahambo,1,0.00%,others
jafarymbaga,japanembassy,1,0.00%,others
jalca,jaica,1,0.00%,others
jandu,danda,1,0.00%,others
japangovernment,adragovernment,1,0.00%,government
jerem,seram,1,0.00%,others
jeshilawokovucida,jeshilawokovu,1,0.00%,others
ji,ai,1,0.00%,others
jiks,jicks,1,0.00%,others
jimmy,commu,1,0.00%,others
jmalabdallah,hemedabdallah,1,0.00%,others
jmc,ac,1,0.00%,others
joerymagabe,jafarymbaga,1,0.00%,others
johngemutaco,johnkimindaco,1,0.00%,others
johnkimindaco,johngemutaco,1,0.00%,others
johnskwese,chinese,1,0.00%,others
josephnkunda,inkinda,1,0.00%,others
jsica,jaica,1,0.00%,others
ju,ja,1,0.00%,others
juineco,juinco,1,0.00%,others
juma,jumaa,1,0.00%,others
jumaa,juma,1,0.00%,others
jumamakulilo,jumamaro,1,0.00%,others
jumandege,jumanne,1,0.00%,others
jumanne,juma,1,0.00%,others
jumannesiabo,jumanne,1,0.00%,others
jumuhia,jumuiya,1,0.00%,others
jumuiya,jumuhia,1,0.00%,others
justinemarwa,actmara,1,0.00%,others
jwtz,dwt,1,0.00%,others
kaem,kaemp,1,0.00%,others
kageramine,german,1,0.00%,others
kagulo,kapelo,1,0.00%,others
kagungulisecondary,zingibalisecondary,1,0.00%,others
kahema,kaem,1,0.00%,others
kajima,kahema,1,0.00%,others
kalitesi,kalitasi,1,0.00%,others
kalugendo,karugendo,1,0.00%,others
kamama,kahema,1,0.00%,others
kamataproject,camartec,1,0.00%,others
kambimigoko,aimgold,1,0.00%,others
kanamama,kamama,1,0.00%,others
kando,daldo,1,0.00%,others
kanisalatag,kanamama,1,0.00%,others
kanisani,kanisa,1,0.00%,others
kapelo,kagulo,1,0.00%,others
karumbabiuldin,ruvumabasin,1,0.00%,others
karumbabiuldingcompanyltd,karumbabuildingcompanyltd,1,0.00%,others
karumbabiuldingcontractor,saxonbuildingcontractor,1,0.00%,others
kashere,kahema,1,0.00%,others
kassim,dassip,1,0.00%,others
kauzeni,kokeni,1,0.00%,others
kawinga,kinga,1,0.00%,others
kayempultd,kaemp,1,0.00%,others
kc,ac,1,0.00%,others
kdc,idc,1,0.00%,others
kdpa,adp,1,0.00%,others
kegocha,chacha,1,0.00%,others
kibopotry,kibo,1,0.00%,others
kidijas,kidika,1,0.00%,others
kidika,kidijas,1,0.00%,others
kigwa,kinga,1,0.00%,others
kikom,kibo,1,0.00%,others
kilanganico,nyakilanganico,1,0.00%,others
kilimarondoparish,loliondoparish,1,0.00%,others
kiliwaterr,kiliwater,1,0.00%,others
kilol,kibo,1,0.00%,others
kindorokowaterproject,rilayowaterproject,1,0.00%,others
kinga,dina,1,0.00%,others
kisiririadp,arrian,1,0.00%,others
kitiangarevillagecommunity,ngiresivillagecommunity,1,0.00%,others
kitukuniwatersupply,holiliwatersupply,1,0.00%,others
kiwandachangozi,kkktndrumangeni,1,0.00%,kkkt
kizenga,kinga,1,0.00%,others
kkktcanal,kkktmareu,1,0.00%,kkkt
kkktkatitijuu,kkktkilinga,1,0.00%,kkkt
kkktkilinga,mwakalinga,1,0.00%,kkkt
kkktleguruki,kkktchurch,1,0.00%,kkkt
kkktmareu,kkktcanal,1,0.00%,kkkt
kkktndrumangeni,kiwandachangozi,1,0.00%,kkkt
koberg,gover,1,0.00%,others
korkonel,kokeni,1,0.00%,others
koyi,coyi,1,0.00%,others
kprimary,prima,1,0.00%,others
ku,ju,1,0.00%,others
kujifoundation,bingofoundation,1,0.00%,others
kumkum,kimkum,1,0.00%,others
kurrp,kadp,1,0.00%,others
kuwaiti,kuwait,1,0.00%,others
kuweit,kuwait,1,0.00%,others
kw,dw,1,0.00%,others
kwamduluestate,ardhiinstute,1,0.00%,others
kwasenengegroup,waterusegroup,1,0.00%,others
kyelamorogoro,matogoro,1,0.00%,others
laizer,claver,1,0.00%,others
latifu,natio,1,0.00%,others
lc,ac,1,0.00%,others
ldep,adap,1,0.00%,others
lei,li,1,0.00%,others
leopadabeid,besada,1,0.00%,others
lgq,lga,1,0.00%,others
li,ai,1,0.00%,others
lindicontractor,gidacontractor,1,0.00%,others
lindiruralwaterdepartment,districwaterdepartment,1,0.00%,others
lionsclubkilimanjaro,dioceseofmountkilimanjaro,1,0.00%,others
lizad,eliza,1,0.00%,others
localtechnical,localtechnician,1,0.00%,others
lolmoloki,lomoloki,1,0.00%,others
lomoloki,lolmoloki,1,0.00%,others
loocip,cip,1,0.00%,others
losakiawatersupply,losakiawatersuppl,1,0.00%,others
lualikaima,anglikana,1,0.00%,others
luka,jika,1,0.00%,others
lukesamarasltd,semacoltd,1,0.00%,others
luleka,luka,1,0.00%,others
lungwe,luthe,1,0.00%,others
lusajo,besado,1,0.00%,others
luwassa,liuwassa,1,0.00%,others
lwicentralgovernment,centralgovernment,1,0.00%,government
m,,1,0.00%,others
mackdonaldcoltd,mackdonaldcontractor,1,0.00%,others
mackdonaldcontrsctor,mackdonaldcontractor,1,0.00%,others
madra,adra,1,0.00%,others
maerere,kashere,1,0.00%,others
magani,amadi,1,0.00%,others
magige,magani,1,0.00%,others
magomaadp,mamad,1,0.00%,others
magul,kagulo,1,0.00%,others
magutumaro,mataro,1,0.00%,others
mahemba,kahema,1,0.00%,others
mahita,mchina,1,0.00%,others
maishule,shule,1,0.00%,others
maivaru,makuru,1,0.00%,others
majmugumu,majimugumu,1,0.00%,others
makala,makusa,1,0.00%,others
makanyasisalestate,kanisalatag,1,0.00%,others
makori,makoye,1,0.00%,others
makoye,makonde,1,0.00%,others
makundya,makonde,1,0.00%,others
makusa,makala,1,0.00%,others
malec,males,1,0.00%,others
males,malec,1,0.00%,others
maliasili,kalitasi,1,0.00%,others
malola,makala,1,0.00%,others
mamaagneskagimbo,jumannesiabo,1,0.00%,others
mamahamisa,aartisa,1,0.00%,others
mamajoela,baadela,1,0.00%,others
mamakalage,makala,1,0.00%,others
mamakapwapwa,mamakalage,1,0.00%,others
mamaz,mamad,1,0.00%,others
mambe,kaembe,1,0.00%,others
mamvuakakungu,mamakalage,1,0.00%,others
mandiaconstruction,nandraconstruction,1,0.00%,others
mandp,adp,1,0.00%,others
mangotree,maerere,1,0.00%,others
manyotaprimaryschool,upendoprimaryschool,1,0.00%,others
manyovuagricultureinstitute,makanyasisalestate,1,0.00%,others
marafin,marafip,1,0.00%,others
marainterproduct,kamataproject,1,0.00%,others
marijanallydadi,maliasili,1,0.00%,others
mark,marke,1,0.00%,others
marke,mark,1,0.00%,others
marumbocommunity,arabcommunity,1,0.00%,others
masailand,makala,1,0.00%,others
masekacommunity,adracommunity,1,0.00%,others
maselenzengula,alexmoyela,1,0.00%,others
masese,males,1,0.00%,others
mashakam,haam,1,0.00%,others
masjidnnre,masjid,1,0.00%,others
masjidtakuar,mashakam,1,0.00%,others
masucompany,maswicompany,1,0.00%,others
matiiti,mahita,1,0.00%,others
matogoro,mataro,1,0.00%,others
matyenye,maerere,1,0.00%,others
maxmbise,mambe,1,0.00%,others
mayiro,maro,1,0.00%,others
mbeje,mtewe,1,0.00%,others
mbiusa,makusa,1,0.00%,others
mbozihospital,hospital,1,0.00%,others
mbozisecondaryschool,secondaryschool,1,0.00%,others
mbuludistrictcouncil,mbozidistrictcouncil,1,0.00%,local_govt
mbusimwita,mgayamwita,1,0.00%,others
mbuzimawe,mkulima,1,0.00%,others
mbwiro,mayiro,1,0.00%,others
mchina,china,1,0.00%,others
meco,amec,1,0.00%,others
megis,belgij,1,0.00%,others
memberofperliamentahmedali,embasyofjapanintanzania,1,0.00%,others
meruconcrete,conce,1,0.00%,others
methodistchurch,batistchurch,1,0.00%,others
mgaya,mungaya,1,0.00%,others
mgayamasese,masese,1,0.00%,others
mgayamwita,mbusimwita,1,0.00%,others
mhchiza,mchina,1,0.00%,others
miab,hiap,1,0.00%,others
misanageorge,george,1,0.00%,others
misheni,cheni,1,0.00%,others
misrigovernment,ciprogovernment,1,0.00%,government
missionaries,missionary,1,0.00%,others
mketo,eeto,1,0.00%,others
mkonconstruction,mkongconstruction,1,0.00%,others
mkongconstruction,mkonconstruction,1,0.00%,others
mkongobuildingcontractor,saxonbuildingcontractor,1,0.00%,others
mkongoconstruction,mkongconstruction,1,0.00%,others
mkulima,kajima,1,0.00%,others
mkuluku,mkulima,1,0.00%,others
mohamadmasanga,mamakalage,1,0.00%,others
mohamedally,omarally,1,0.00%,others
monmali,amadi,1,0.00%,others
moravian,morovian,1,0.00%,others
morningconstruction,mkongconstruction,1,0.00%,others
